original,replacement,weight
f,:,0.028642590286425903
i,f,0.007541478129713424
f,l,0.043586550435865505
c,v,0.0028182245185533112
w,o,0.02945619335347432
c,",",0.0056364490371066224
k, ,0.1145374449339207
k,s,0.07048458149779736
k,y,0.022026431718061675
k,q,0.03303964757709251
f,",",0.0062266500622665
m,y,0.006586826347305389
7,U,0.00033090668431502316
2,U,0.00029036004645760743
c,k,0.0032879286049788633
o,w,0.0027691242644513675
o,=,0.00034614053305642093
l,w,0.002867383512544803
l,=,0.0007168458781362007
m,h,0.013772455089820359
g,v,0.006224066390041493
l,k,0.002867383512544803
k,d,0.006607929515418502
k,l,0.037444933920704845
v,n,0.08620689655172414
v,e,0.1206896551724138
v,r,0.08620689655172414
v, ,0.10344827586206896
v,q,0.034482758620689655
v,s,0.08620689655172414
v,a,0.10344827586206896
v,i,0.08620689655172414
v,g,0.05172413793103448
v,:,0.034482758620689655
v,m,0.06896551724137931
v,t,0.08620689655172414
v,l,0.034482758620689655
j,_,0.0024067388688327317
w,v,0.0037764350453172208
i,v,0.001005530417295123
w,",",0.009818731117824773
a,k,0.005573055488248122
t,y,0.01155115511551155
t,",",0.0024752475247524753
2,_,0.0013066202090592336
8,_,0.0017843487127198571
k,v,0.015418502202643172
k,",",0.00881057268722467
s,h,0.01759899434318039
o,p,0.003115264797507788
7,",",0.009927200529450696
u,v,0.004935834155972359
h,v,0.0047413793103448275
i,b,0.007541478129713424
m,b,0.0029940119760479044
g,h,0.007261410788381743
g,u,0.012448132780082987
h,y,0.007327586206896552
h,w,0.00646551724137931
z,n,0.06976744186046512
z,e,0.06976744186046512
z,t,0.06976744186046512
z,c,0.023255813953488372
z, ,0.11627906976744186
c,z,0.0014091122592766556
z,q,0.023255813953488372
z,s,0.09302325581395349
z,r,0.046511627906976744
z,a,0.09302325581395349
z,g,0.046511627906976744
z,i,0.046511627906976744
z,o,0.06976744186046512
z,:,0.023255813953488372
z,m,0.046511627906976744
z,l,0.023255813953488372
j,k,0.00842358604091456
a,p,0.001938454082868912
v,o,0.017241379310344827
2,o,0.0017421602787456446
7,o,0.0009927200529450694
l,x,0.0014336917562724014
r,=,0.002620741295394983
b,″,0.0007757951900698216
b,2,0.0007757951900698216
r,″,0.0007487832272557095
b,”,0.0015515903801396431
r,2,0.0011231748408835642
b,=,0.0007757951900698216
r,”,0.00037439161362785476
r,3,0.00037439161362785476
b,d,0.02017067494181536
b,3,0.0015515903801396431
a,z,0.000969227041434456
7,1,0.01158173395102581
2,z,0.0014518002322880372
8,z,0.002039255671679837
l,',0.0014336917562724014
a,',0.000242306760358614
7,G,0.00033090668431502316
l,v,0.002150537634408602
l,",",0.004301075268817204
t,d,0.005775577557755775
d,w,0.002952755905511811
f,h,0.0062266500622665
f,c,0.007471980074719801
f,y,0.0062266500622665
l,f,0.005734767025089606
y,i,0.06015037593984962
y,a,0.11278195488721804
y,s,0.07518796992481203
y,h,0.011278195488721804
y,q,0.045112781954887216
y,m,0.07518796992481203
y, ,0.15037593984962405
y,c,0.015037593984962405
y,t,0.041353383458646614
y,r,0.10150375939849623
y,g,0.07142857142857142
y,n,0.04887218045112782
w,d,0.01283987915407855
w,u,0.0015105740181268882
w,h,0.004531722054380665
r,"
",0.0007487832272557095
r,x,0.00037439161362785476
m,v,0.003592814371257485
m,z,0.0005988023952095808
p,z,0.006510416666666667
