original,replacement,weight
I,D,0.001464844
N,U,0.0007401924500370096
l,r,0.0007889546351084812
n,i,0.0005268703898840885
M,n,0.006060606060606061
o,g,0.002145922746781116
E,t,0.0011750881316098707
V,y,0.005025125628140704
o,O,0.032188841201716736
8,T,0.0003550505947097461
m,4,0.0021551724137931034
N,A,0.0007401924500370096
l,7,0.001183431952662722
b,Q,0.0011723329425556857
0,c,0.0005192107995846313
q,u,0.0019801980198019802
z,E,0.0022172949002217295
4,g,0.0003559352197899982
d,x,0.0011883541295306002
U,a,0.002997002997002997
q,V,0.0019801980198019802
5,g,0.001348747591522158
C,r,0.0011500862564692352
n,m,0.005795574288724974
F,Y,0.0006944444444444445
u,V,0.014522821576763486
F,T,0.0006944444444444445
V,Y,0.0037688442211055275
r,f,0.0008620689655172414
X,y,0.004629629629629629
l,j,0.0027613412228796844
4,V,0.0001779676098949991
6,l,0.00035056967572304995
R,e,0.002472187886279357
e,q,0.0004887585532746823
4,F,0.0001779676098949991
l,y,0.0003944773175542406
D,q,0.0012836970474967907
t,I,0.0006745362563237774
8,Y,0.0023078288656133497
7,A,0.00016289297931259162
Z,g,0.0021551724137931034
5,B,0.0003853564547206166
a,z,0.0018248175182481751
8,2,0.0003550505947097461
A,M,0.0018832391713747645
g,B,0.001697792869269949
1,j,0.000315955766192733
x,R,0.002127659574468085
d,Q,0.0017825311942959
F,q,0.001388888888888889
y,7,0.005249343832020997
H,K,0.0019193857965451055
2,v,0.0008519338899301414
l,R,0.0007889546351084812
V,W,0.002512562814070352
x,f,0.002127659574468085
s,a,0.006864988558352402
Y,V,0.005012531328320802
q,P,0.0019801980198019802
8,D,0.00017752529735487306
1,7,0.0007898894154818325
B,R,0.0015432098765432098
p,e,0.010869565217391304
2,V,0.0005111603339580849
9,Q,0.00035174111853675694
q,z,0.0019801980198019802
y,H,0.0026246719160104987
I,n,0.000488281
a,g,0.0018248175182481751
7,p,0.00016289297931259162
U,Q,0.001998001998001998
a,7,0.0006082725060827251
7,i,0.00016289297931259162
t,y,0.0013490725126475548
D,b,0.010269576379974325
8,a,0.0007101011894194922
L,6,0.0024691358024691358
r,v,0.003879310344827586
I,r,0.000976563
v,S,0.002136752136752137
Z,7,0.0021551724137931034
7,z,0.0011402508551881414
o,b,0.002145922746781116
P,8,0.0021474588403722263
x,N,0.006382978723404255
N,R,0.0007401924500370096
0,6,0.00017307026652821047
M,W,0.0006734006734006734
E,q,0.0023501762632197414
5,J,0.0017341040462427746
D,B,0.0038510911424903724
Y,g,0.0012531328320802004
j,7,0.0031545741324921135
H,4,0.003838771593090211
v,N,0.004273504273504274
r,w,0.0004310344827586207
s,G,0.006864988558352402
b,D,0.004689331770222743
f,G,0.005
h,B,0.000676132521974307
z,8,0.004434589800443459
n,k,0.0005268703898840885
s,N,0.004576659038901602
7,j,0.00032578595862518323
i,n,0.00234192037470726
I,F,0.000976563
6,5,0.00035056967572304995
b,H,0.0023446658851113715
s,D,0.006864988558352402
E,R,0.0011750881316098707
c,G,0.0023148148148148147
4,X,0.0001779676098949991
t,A,0.0003372681281618887
6,h,0.0010517090271691498
q,0,0.0039603960396039604
e,F,0.0004887585532746823
B,Q,0.0030864197530864196
E,C,0.0011750881316098707
e,h,0.0004887585532746823
W,Q,0.0012406947890818859
O,S,0.00024061597690086623
O,s,0.00024061597690086623
R,K,0.0012360939431396785
T,C,0.0006345177664974619
g,n,0.001697792869269949
n,y,0.0005268703898840885
R,k,0.002472187886279357
0,2,0.00017307026652821047
B,a,0.0015432098765432098
C,n,0.0005750431282346176
R,F,0.002472187886279357
2,q,0.0005111603339580849
U,C,0.0014985014985014985
M,N,0.00202020202020202
U,j,0.0004995004995004995
E,F,0.0011750881316098707
e,o,0.0009775171065493646
6,i,0.00035056967572304995
r,5,0.0008620689655172414
4,m,0.0001779676098949991
V,l,0.001256281407035176
B,G,0.0015432098765432098
7,D,0.00016289297931259162
I,J,0.002441406
z,x,0.004434589800443459
k,U,0.004291845493562232
U,y,0.002997002997002997
e,t,0.0004887585532746823
G,S,0.0022371364653243847
8,S,0.0012426770814841115
f,C,0.0025
2,s,0.0005111603339580849
P,q,0.0014316392269148174
F,J,0.001388888888888889
h,A,0.000676132521974307
a,n,0.0018248175182481751
n,7,0.0005268703898840885
7,P,0.00032578595862518323
Y,z,0.0012531328320802004
e,z,0.0007331378299120235
8,k,0.00017752529735487306
4,r,0.0001779676098949991
f,p,0.005
s,j,0.002288329519450801
g,7,0.001697792869269949
w,H,0.0021413276231263384
Q,2,0.002421307506053269
l,x,0.0003944773175542406
B,8,0.0015432098765432098
g,S,0.008488964346349746
A,f,0.0009416195856873823
a,0,0.0018248175182481751
x,y,0.010638297872340425
9,S,0.0008793527963418924
h,u,0.002028397565922921
I,C,0.000488281
0,R,0.00017307026652821047
A,n,0.004708097928436911
P,f,0.0007158196134574087
j,1,0.0031545741324921135
N,w,0.0022205773501110288
6,v,0.00017528483786152498
l,D,0.0003944773175542406
S,N,0.00028506271379703536
F,8,0.0020833333333333333
J,g,0.001597444089456869
8,V,0.00017752529735487306
a,i,0.0006082725060827251
j,3,0.0031545741324921135
k,i,0.002145922746781116
e,8,0.00024437927663734115
A,B,0.0018832391713747645
J,S,0.003194888178913738
h,i,0.001352265043948614
l,9,0.0003944773175542406
e,g,0.00024437927663734115
5,D,0.0001926782273603083
8,e,0.00017752529735487306
l,e,0.001183431952662722
2,r,0.0001703867779860283
u,H,0.002074688796680498
r,6,0.0004310344827586207
0,Y,0.00017307026652821047
u,a,0.004149377593360996
P,j,0.0007158196134574087
h,f,0.000676132521974307
t,Y,0.0016863406408094434
r,k,0.001293103448275862
k,L,0.002145922746781116
g,C,0.001697792869269949
f,P,0.0025
q,o,0.0019801980198019802
A,R,0.00847457627118644
f,h,0.0025
u,o,0.002074688796680498
I,2,0.001464844
7,q,0.00032578595862518323
7,3,0.00032578595862518323
l,8,0.0003944773175542406
5,8,0.0003853564547206166
A,x,0.0009416195856873823
w,n,0.0021413276231263384
a,3,0.0018248175182481751
T,Y,0.0012690355329949238
8,j,0.0003550505947097461
6,f,0.00017528483786152498
h,l,0.000676132521974307
I,p,0.000488281
l,J,0.0003944773175542406
j,x,0.0031545741324921135
g,j,0.003395585738539898
n,D,0.0005268703898840885
T,J,0.0025380710659898475
c,e,0.0023148148148148147
P,b,0.0014316392269148174
8,r,0.0005325758920646192
H,u,0.0019193857965451055
4,D,0.0001779676098949991
o,e,0.002145922746781116
o,a,0.002145922746781116
M,o,0.0013468013468013469
j,d,0.012618296529968454
6,j,0.00017528483786152498
O,B,0.00024061597690086623
S,e,0.00028506271379703536
6,B,0.00017528483786152498
c,a,0.0023148148148148147
4,n,0.0003559352197899982
g,O,0.001697792869269949
O,P,0.00024061597690086623
L,z,0.0012345679012345679
X,V,0.0023148148148148147
s,w,0.004576659038901602
m,r,0.0021551724137931034
S,p,0.00028506271379703536
2,E,0.0001703867779860283
u,n,0.002074688796680498
t,k,0.0013490725126475548
T,q,0.0006345177664974619
H,n,0.0019193857965451055
8,y,0.0003550505947097461
n,w,0.0005268703898840885
8,X,0.0003550505947097461
5,F,0.0007707129094412332
h,X,0.000676132521974307
e,B,0.0007331378299120235
3,a,0.0006701289998324678
7,v,0.00016289297931259162
Q,D,0.002421307506053269
h,w,0.000676132521974307
g,d,0.001697792869269949
h,q,0.000676132521974307
y,r,0.0026246719160104987
4,d,0.0003559352197899982
S,o,0.00028506271379703536
2,i,0.0001703867779860283
A,p,0.0018832391713747645
F,g,0.0006944444444444445
t,L,0.0003372681281618887
w,a,0.0021413276231263384
W,U,0.0012406947890818859
3,P,0.00016753224995811694
2,I,0.0003407735559720566
O,p,0.00024061597690086623
E,c,0.0011750881316098707
f,R,0.0025
g,E,0.001697792869269949
B,p,0.0030864197530864196
s,r,0.002288329519450801
o,G,0.002145922746781116
4,T,0.0001779676098949991
z,e,0.004434589800443459
n,M,0.0026343519494204425
z,Y,0.0022172949002217295
O,2,0.00024061597690086623
L,u,0.0012345679012345679
v,r,0.002136752136752137
P,B,0.0007158196134574087
S,d,0.00028506271379703536
4,i,0.0001779676098949991
J,y,0.001597444089456869
4,j,0.0003559352197899982
3,9,0.00016753224995811694
B,e,0.0015432098765432098
7,y,0.0004886789379377749
m,N,0.0021551724137931034
1,S,0.0001579778830963665
c,6,0.0023148148148148147
8,7,0.00017752529735487306
1,h,0.0001579778830963665
a,C,0.0012165450121654502
G,9,0.0022371364653243847
t,H,0.0003372681281618887
7,F,0.00032578595862518323
0,9,0.00017307026652821047
R,Q,0.0012360939431396785
4,E,0.0001779676098949991
s,b,0.002288329519450801
P,r,0.0007158196134574087
o,S,0.002145922746781116
7,f,0.0004886789379377749
6,C,0.0014022787028921998
K,x,0.002617801047120419
k,x,0.002145922746781116
O,e,0.00024061597690086623
a,h,0.0006082725060827251
a,B,0.0012165450121654502
Y,7,0.002506265664160401
4,k,0.0001779676098949991
x,V,0.002127659574468085
5,i,0.0001926782273603083
D,8,0.0012836970474967907
k,b,0.002145922746781116
2,3,0.0005111603339580849
h,R,0.002704530087897228
8,i,0.00017752529735487306
5,n,0.0001926782273603083
m,n,0.004310344827586207
r,x,0.0004310344827586207
r,i,0.001293103448275862
S,b,0.00028506271379703536
G,g,0.0044742729306487695
8,A,0.00017752529735487306
6,a,0.00017528483786152498
v,w,0.002136752136752137
0,q,0.00017307026652821047
t,5,0.0003372681281618887
d,e,0.0005941770647653001
N,v,0.0014803849000740192
2,C,0.0001703867779860283
H,W,0.0019193857965451055
P,F,0.0007158196134574087
E,5,0.0023501762632197414
R,a,0.0012360939431396785
9,p,0.00017587055926837847
U,w,0.0004995004995004995
u,y,0.004149377593360996
H,d,0.0019193857965451055
1,n,0.0001579778830963665
C,z,0.0005750431282346176
2,J,0.0001703867779860283
H,t,0.0019193857965451055
i,6,0.00234192037470726
U,q,0.0004995004995004995
d,g,0.0005941770647653001
Y,X,0.0012531328320802004
1,J,0.0001579778830963665
2,t,0.0001703867779860283
0,s,0.00017307026652821047
M,U,0.0006734006734006734
B,O,0.0015432098765432098
x,z,0.00425531914893617
2,B,0.0001703867779860283
N,V,0.0007401924500370096
t,S,0.0006745362563237774
F,d,0.0006944444444444445
8,t,0.00017752529735487306
d,N,0.0011883541295306002
l,p,0.0003944773175542406
L,I,0.0024691358024691358
C,f,0.0005750431282346176
D,2,0.0012836970474967907
G,C,0.0044742729306487695
A,m,0.0018832391713747645
H,B,0.0019193857965451055
L,b,0.0012345679012345679
I,o,0.000488281
j,8,0.0031545741324921135
O,J,0.00024061597690086623
y,x,0.0026246719160104987
y,t,0.0026246719160104987
d,j,0.0005941770647653001
Y,U,0.0012531328320802004
C,Q,0.0005750431282346176
J,I,0.003194888178913738
o,n,0.002145922746781116
i,z,0.00234192037470726
j,T,0.0031545741324921135
8,o,0.00017752529735487306
A,q,0.0009416195856873823
a,Z,0.0006082725060827251
h,x,0.000676132521974307
7,t,0.00016289297931259162
b,t,0.0011723329425556857
6,s,0.00017528483786152498
W,y,0.0012406947890818859
U,H,0.0004995004995004995
I,S,0.000488281
8,O,0.00017752529735487306
Z,R,0.0021551724137931034
y,9,0.0026246719160104987
4,6,0.0001779676098949991
J,s,0.001597444089456869
L,q,0.0012345679012345679
d,b,0.0005941770647653001
C,U,0.0005750431282346176
9,r,0.00017587055926837847
a,s,0.0006082725060827251
g,e,0.001697792869269949
s,g,0.004576659038901602
U,z,0.0004995004995004995
1,D,0.0001579778830963665
K,X,0.002617801047120419
f,b,0.0025
8,b,0.00017752529735487306
k,u,0.002145922746781116
A,d,0.0009416195856873823
g,Q,0.003395585738539898
8,3,0.00017752529735487306
x,m,0.002127659574468085
x,n,0.002127659574468085
P,i,0.0007158196134574087
f,7,0.0025
C,o,0.0011500862564692352
j,n,0.0031545741324921135
I,f,0.000488281
m,u,0.0021551724137931034
l,t,0.0003944773175542406
t,o,0.0003372681281618887
7,l,0.00016289297931259162
R,z,0.0012360939431396785
B,H,0.0015432098765432098
o,s,0.002145922746781116
S,B,0.00028506271379703536
t,Z,0.0003372681281618887
B,o,0.0015432098765432098
n,S,0.0005268703898840885
i,c,0.00234192037470726
J,V,0.001597444089456869
B,3,0.0015432098765432098
Y,9,0.0012531328320802004
F,G,0.001388888888888889
i,r,0.00234192037470726
1,Z,0.0001579778830963665
F,7,0.0006944444444444445
c,L,0.0023148148148148147
W,6,0.0012406947890818859
G,b,0.0022371364653243847
4,K,0.0001779676098949991
p,r,0.002717391304347826
U,W,0.0004995004995004995
M,4,0.0006734006734006734
A,L,0.0009416195856873823
l,b,0.0003944773175542406
4,s,0.0001779676098949991
8,s,0.00017752529735487306
g,5,0.001697792869269949
U,n,0.0004995004995004995
g,r,0.001697792869269949
Z,L,0.0021551724137931034
1,9,0.0001579778830963665
O,m,0.00024061597690086623
8,z,0.00017752529735487306
k,H,0.002145922746781116
7,g,0.00016289297931259162
T,P,0.0006345177664974619
0,u,0.00017307026652821047
o,U,0.002145922746781116
r,l,0.0004310344827586207
u,m,0.002074688796680498
u,z,0.002074688796680498
l,f,0.0003944773175542406
d,y,0.0005941770647653001
d,l,0.0005941770647653001
